client-19  | 2024-05-27 14:56:06,819 tested-turkey INFO: Received INIT commat at [16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,]. This client is assinged number 15.
server-1   | 2024-05-27 14:56:06,979 server INFO: Incomming connection from ('172.22.0.18', 48226)
client-35  | 2024-05-27 14:56:06,980 beneficial-uakari INFO: Received INIT commat at [17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,]. This client is assinged number 16.
server-1   | 2024-05-27 14:56:07,234 server INFO: Incomming connection from ('172.22.0.19', 35308)
client-30  | 2024-05-27 14:56:07,234 resilient-coua INFO: Received INIT commat at [18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,]. This client is assinged number 17.
server-1   | 2024-05-27 14:56:07,429 server INFO: Incomming connection from ('172.22.0.20', 45234)
client-33  | 2024-05-27 14:56:07,429 delicate-turtle INFO: Received INIT commat at [19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,]. This client is assinged number 18.
server-1   | 2024-05-27 14:56:07,598 server INFO: Incomming connection from ('172.22.0.21', 59780)
client-37  | 2024-05-27 14:56:07,599 naughty-kakapo INFO: Received INIT commat at [20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,]. This client is assinged number 19.
server-1   | 2024-05-27 14:56:07,754 server INFO: Incomming connection from ('172.22.0.22', 49846)
client-11  | 2024-05-27 14:56:07,755 tireless-tapir INFO: Received INIT commat at [21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,]. This client is assinged number 20.
server-1   | 2024-05-27 14:56:07,944 server INFO: Incomming connection from ('172.22.0.23', 53024)
client-20  | 2024-05-27 14:56:07,945 nifty-hedgehog INFO: Received INIT commat at [22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,]. This client is assinged number 21.
server-1   | 2024-05-27 14:56:08,114 server INFO: Incomming connection from ('172.22.0.24', 50246)
client-1   | 2024-05-27 14:56:08,115 brave-cougar INFO: Received INIT commat at [23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,]. This client is assinged number 22.
